"ItemTitle","IMDBid","ItemYear","ItemRuntime","Rating","Rated.Date","Decade","Seen","Service","Type"
"Lan feng zheng","tt0107358",1993,"140 min",NA,NA,"1990s","No",NA,NA
"Solaris","tt0069293",1972,"167 min","9","Rated on 14 Jul 2021","1970s","Yes",NA,NA
"The Thin Man","tt0025878",1934,"91 min","7","Rated on 09 Jul 2021","1930s","Yes",NA,NA
"Paris, Texas","tt0087884",1984,"145 min",NA,NA,"1980s","No",NA,NA
"Goodfellas","tt0099685",1990,"146 min","9","Rated on 07 Aug 2021","1990s","Yes",NA,NA
"The Life and Death of Colonel Blimp","tt0036112",1943,"163 min",NA,NA,"1940s","No",NA,NA
"Don't Look Now","tt0069995",1973,"110 min",NA,NA,"1970s","No",NA,NA
"12 Angry Men","tt0050083",1957,"96 min","9","Rated on 09 Jul 2021","1950s","Yes","Prime","Feature Film"
"The Wild Bunch","tt0065214",1969,"135 min",NA,NA,"1960s","No",NA,NA
"Kind Hearts and Coronets","tt0041546",1949,"106 min",NA,NA,"1940s","No",NA,NA
"Rififi","tt0048021",1955,"118 min",NA,NA,"1950s","No",NA,NA
"Cries & Whispers","tt0069467",1972,"91 min",NA,NA,"1970s","No",NA,NA
"Unforgiven","tt0105695",1992,"130 min",NA,NA,"1990s","No",NA,NA
"The Firemen's Ball","tt0061781",1967,"73 min",NA,NA,"1960s","No",NA,NA
"Stroszek","tt0075276",1977,"115 min",NA,NA,"1970s","No","Prime","Feature Film"
"The Hustler","tt0054997",1961,"134 min","6","Rated on 19 Sep 2021","1960s","Yes",NA,NA
"In Cold Blood","tt0061809",1967,"134 min",NA,NA,"1960s","No",NA,NA
"JFK","tt0102138",1991,"189 min","6","Rated on 14 Oct 2021","1990s","Yes",NA,NA
"Annie Hall","tt0075686",1977,"93 min",NA,NA,"1970s","No",NA,NA
"Rashomon","tt0042876",1950,"88 min",NA,NA,"1950s","No",NA,NA
"The Grapes of Wrath","tt0032551",1940,"129 min",NA,NA,"1940s","No",NA,NA
"Umberto D.","tt0045274",1952,"89 min",NA,NA,"1950s","No",NA,NA
"Amadeus","tt0086879",1984,"160 min","8","Rated on 09 Jul 2021","1980s","Yes",NA,NA
"Patton","tt0066206",1970,"172 min",NA,NA,"1970s","No",NA,NA
"The Right Stuff","tt0086197",1983,"193 min","8","Rated on 09 Jul 2021","1980s","Yes",NA,NA
"The Fall of the House of Usher","tt0018770",1928,"63 min","8","Rated on 09 Jul 2021","1920s","Yes",NA,NA
"Say Anything","tt0098258",1989,"100 min","6","Rated on 09 Jul 2021","1980s","Yes",NA,NA
"King Kong","tt0024216",1933,"100 min","8","Rated on 09 Jul 2021","1930s","Yes",NA,NA
