"Submitting country","Film title used in nomination","Original title","Language(s)","Director(s)","Result","Result [6]","Title used in nomination","Ceremony"
"Panama","Beyond Brotherhood[71]","Más que hermanos","Spanish","Arianne Benedetti","Not nominated",NA,NA,"/w"
"Paraguay","The Gold Seekers[72]","Los Buscadores","Spanish, Guarani","Juan Carlos Maneglia and Tana Schembori","Not nominated",NA,NA,"/w"
"Peru","Rosa Chumbe[73]","Rosa Chumbe","Spanish","Jonatan Relayze","Not nominated",NA,NA,"/w"
"Philippines","Birdshot[74]","Birdshot","Filipino","Mikhail Red","Not nominated",NA,NA,"/w"
"Poland","Spoor[75]","Pokot","Polish","Agnieszka Holland","Not nominated",NA,NA,"/w"
"Portugal","Saint George[76]","São Jorge","Portuguese","Marco Martins","Not nominated",NA,NA,"/w"
"Romania","Fixeur[77]","Fixeur","Romanian","Adrian Sitaru","Not nominated",NA,NA,"/w"
"Russia","Loveless[78]","Нелюбовь (Nelyubov)","Russian","Andrey Zvyagintsev","Nominated[43]",NA,NA,"/w"
"Senegal","Félicité[6]","Félicité","Lingala, French","Alain Gomis","Made shortlist[9]",NA,NA,"/w"
"Serbia","Requiem for Mrs. J.[79]","Реквијем за госпођу Ј. (Rekvijem za gospodju J.)","Serbian","Bojan Vuletić","Not nominated",NA,NA,"/w"
"Singapore","Pop Aye[80]","Pop Aye","Thai","Kirsten Tan","Not nominated",NA,NA,"/w"
"Slovakia","The Line[81]","Čiara","Slovak, Ukrainian","Peter Bebjak","Not nominated",NA,NA,"/w"
"Slovenia","The Miner[82]","Rudar","Slovene","Hanna Antonina Wojcik Slak","Not nominated",NA,NA,"/w"
"South Africa","The Wound[83]","Inxeba","Xhosa","John Trengove","Made shortlist[9]",NA,NA,"/w"
"South Korea","A Taxi Driver[84]","택시운전사 (Taeksi Woonjunsa)","Korean, English","Jang Hoon","Not nominated",NA,NA,"/w"
"Spain","Summer 1993[85]","Estiu 1993","Catalan","Carla Simón","Not nominated",NA,NA,"/w"
"Sweden","The Square[86]","The Square","Swedish, English, Danish","Ruben Östlund","Nominated[43]",NA,NA,"/w"
"Switzerland","The Divine Order[87]","Die göttliche Ordnung","German","Petra Biondina Volpe","Not nominated",NA,NA,"/w"
"Syria","Little Gandhi[6]","Little Gandhi","Arabic, English","Sam Kadi","Not nominated",NA,NA,"/w"
"Taiwan","Small Talk[88]","日常對話 (Ri Chang Dui Hua)","Taiwanese","Huang Hui-chen","Not nominated",NA,NA,"/w"
"Thailand","By the Time It Gets Dark[89]","ดาวคะนอง (Dao Khanong)","Thai","Anocha Suwichakornpong","Not nominated",NA,NA,"/w"
"Tunisia","The Last of Us[90]","اخر واحد فينا (Akher Wahed Fina)","No dialogue","Ala Eddine Slim","Not nominated",NA,NA,"/w"
"Turkey","Ayla: The Daughter of War[91]","Ayla","Turkish, Korean, English","Can Ulkay","Not nominated",NA,NA,"/w"
"Ukraine","Black Level[92]","Рівень чорного (Riven' Chornoho)","No dialogue","Valentyn Vasyanovych","Not nominated",NA,NA,"/w"
"United Kingdom","My Pure Land[93]","میری پاک زمین","Urdu","Sarmad Masud","Not nominated",NA,NA,"/w"
"Uruguay","Another Story of the World[94]","Otra historia del mundo","Spanish","Guillermo Casanova","Not nominated",NA,NA,"/w"
"Venezuela","El Inca[95]","El Inca","Spanish","Ignacio Castillo Cottin","Not nominated",NA,NA,"/w"
"Vietnam","Father and Son[96]","Cha cõng con","Vietnamese","Lương Đình Dũng","Not nominated",NA,NA,"/w"
"Afghanistan","Rona, Azim's Mother[9]","رونا مادر عظیم (Rona, Madar-e Azim)","Persian, Dari","Jamshid Mahmoudi","Not nominated",NA,NA,"/w"
"Algeria","Until the End of Time[10]","إلى آخر الزمان (Akher Ezaman)","Arabic","Yasmine Chouikh","Not nominated",NA,NA,"/w"
"Argentina","El Ángel[11]","El Ángel","Spanish","Luis Ortega","Not nominated",NA,NA,"/w"
"Armenia","Spitak[12]","Սպիտակ","Armenian, Russian, French","Alexander Kott","Not nominated",NA,NA,"/w"
"Australia","Jirga[13]","Jirga","Pashto, English","Benjamin Gilmour","Not nominated",NA,NA,"/w"
"Austria","The Waldheim Waltz[14]","Waldheims Walzer","German, English, French","Ruth Beckermann","Not nominated",NA,NA,"/w"
"Bangladesh","No Bed of Roses[15]","ডুব (Doob)","Bengali, English","Mostofa Sarwar Farooki","Not nominated",NA,NA,"/w"
"Belarus","Crystal Swan[16]","Хрусталь","Russian, English","Darya Zhuk","Not nominated",NA,NA,"/w"
"Belgium","Girl[17]","Girl","Dutch, French","Lukas Dhont","Not nominated",NA,NA,"/w"
"Bolivia","The Goalkeeper[18]","Muralla","Spanish","Rodrigo Patiño","Not nominated",NA,NA,"/w"
"Bosnia and Herzegovina","Never Leave Me[19]","Ne ostavljaj me","Arabic, Turkish","Aida Begić","Not nominated",NA,NA,"/w"
"Brazil","The Great Mystical Circus[20]","O Grande Circo Místico","Portuguese","Cacá Diegues","Not nominated",NA,NA,"/w"
"Bulgaria","Omnipresent[21]","Вездесъщият (Vezdesŭshtiyat)","Bulgarian","Ilian Djevelekov","Not nominated",NA,NA,"/w"
"Cambodia","Graves Without a Name[22]","ផ្នូរគ្មានឈ្មោះ (Les tombeaux sans noms)","French, Khmer","Rithy Panh","Not nominated",NA,NA,"/w"
"Canada","Family First[23]","Chien de garde","French","Sophie Dupuis","Not nominated",NA,NA,"/w"
"Chile","And Suddenly the Dawn[24]","Y de pronto el amanecer","Spanish","Silvio Caiozzi","Not nominated",NA,NA,"/w"
"China","Hidden Man[5]","邪不压正 (Xie Bu Ya Zheng)","Mandarin","Jiang Wen","Not nominated",NA,NA,"/w"
"Colombia","Birds of Passage[25]","Pájaros de verano","Wayuu, Spanish, English, Wiwa","Cristina Gallego and Ciro Guerra","Made shortlist[6]",NA,NA,"/w"
"Costa Rica","Medea[26]","Medea","Spanish","Alexandra Latishev Salazar","Not nominated",NA,NA,"/w"
"Croatia","The Eighth Commissioner[27]","Osmi povjerenik","Croatian","Ivan Salaj","Not nominated",NA,NA,"/w"
"Cuba","Sergio and Sergei[28]","Sergio & Sergei","Spanish, English, Russian","Ernesto Daranas","Not on the final list[29]",NA,NA,"/w"
"Czech Republic","Winter Flies[30]","Všechno bude","Czech","Olmo Omerzu","Not nominated",NA,NA,"/w"
"Denmark","The Guilty[31]","Den skyldige","Danish","Gustav Möller","Made shortlist[6]",NA,NA,"/w"
"Dominican Republic","Cocote[32]","Cocote","Spanish","Nelson Carlo de Los Santos Arias","Not nominated",NA,NA,"/w"
"Ecuador","A Son of Man[33]","A Son of Man","Spanish, English, German, Quechua","Jamaicanoproblem and Pablo Agüero","Not nominated",NA,NA,"/w"
"Egypt","Yomeddine[34]","يوم الدين","Arabic","Abu Bakr Shawky","Not nominated",NA,NA,"/w"
"Estonia","Take It or Leave It[35]","Võta või jäta","Estonian","Liina Triškina-Vanhatalo","Not nominated",NA,NA,"/w"
"Finland","Euthanizer[36]","Armomurhaaja","Finnish","Teemu Nikki","Not nominated",NA,NA,"/w"
"France","Memoir of War[37]","La douleur","French","Emmanuel Finkiel","Not nominated",NA,NA,"/w"
"Georgia","Namme[38]","ნამე (Namme)","Georgian","Zaza Khalvashi","Not nominated",NA,NA,"/w"
"Germany","Never Look Away[39]","Werk ohne Autor","German","Florian Henckel von Donnersmarck","Nominated[7]",NA,NA,"/w"
"Greece","Polyxeni[40]","Πολυξένη","Greek, Turkish","Dora Masklavanou","Not nominated",NA,NA,"/w"
"Hong Kong","Operation Red Sea[41]","红海行动","Mandarin","Dante Lam","Not nominated",NA,NA,"/w"
"Hungary","Sunset[42]","Napszállta","Hungarian, German","László Nemes","Not nominated",NA,NA,"/w"
"Iceland","Woman at War[43]","Kona fer í stríð","Icelandic, Spanish, English, Ukrainian","Benedikt Erlingsson","Not nominated",NA,NA,"/w"
"India","Village Rockstars[44]","Village Rockstars","Assamese","Rima Das","Not nominated",NA,NA,"/w"
"Indonesia","Marlina the Murderer in Four Acts[45]","Marlina Si Pembunuh dalam Empat Babak","Indonesian","Mouly Surya","Not nominated",NA,NA,"/w"
"Iran","No Date, No Signature[46]","بدون تاریخ، بدون امضا","Persian","Vahid Jalilvand","Not nominated",NA,NA,"/w"
"Iraq","The Journey[47]","الرحلة","Arabic","Mohamed Al-Daradji","Not nominated",NA,NA,"/w"
"Israel","The Cakemaker[48]","האופה מברלין","English, Hebrew, German","Ofir Raul Grazier","Not nominated",NA,NA,"/w"
"Italy","Dogman[49]","Dogman","Italian","Matteo Garrone","Not nominated",NA,NA,"/w"
"Japan","Shoplifters[50]","万引き家族 (Manbiki Kazoku)","Japanese","Hirokazu Kore-eda","Nominated[7]",NA,NA,"/w"
"Kazakhstan","Ayka[51]","Айка","Russian","Sergey Dvortsevoy","Made shortlist[6]",NA,NA,"/w"
"Kenya","Supa Modo[52]","Supa Modo","Swahili","Likarion Wainaina","Not nominated",NA,NA,"/w"
"Kosovo","The Marriage[53]","Martesa","Albanian","Blerta Zeqiri","Not nominated",NA,NA,"/w"
"Kyrgyzstan","Night Accident[54]","Ночная авария (Tunku Kyrsyk)","Kyrgyz","Temirbek Birnazarov","Not on the final list[55]",NA,NA,"/w"
"Latvia","To Be Continued[56]","Turpinājums","Latvian","Ivars Seleckis","Not nominated",NA,NA,"/w"
"Lebanon","Capernaum[57]","کفرناحوم (Capharnaüm)","Arabic","Nadine Labaki","Nominated[7]",NA,NA,"/w"
"Lithuania","Wonderful Losers: A Different World[58]","Nuostabieji Luzeriai. Kita planeta","Italian, English, Dutch","Arūnas Matelis","Not nominated",NA,NA,"/w"
"Luxembourg","Gutland[59]","Gutland","Luxembourgish, German","Govinda Van Maele","Not nominated",NA,NA,"/w"
"Former Yugoslav Republic of Macedonia","Secret Ingredient[60]","Исцелител (Iscelitel)","Macedonian","Gjorce Stavreski","Not nominated",NA,NA,"/w"
"Malawi","The Road to Sunrise[61]","The Road to Sunrise","Chichewa, English[62]","Shemu Joyah","Not nominated",NA,NA,"/w"
"Mexico","Roma[63]","Roma","Spanish, Mixtec","Alfonso Cuarón","Won Academy Award[8]",NA,NA,"/w"
"Montenegro","Iskra[64]","Iskra","Serbian","Gojko Berkuljan","Not nominated",NA,NA,"/w"
"Morocco","Burnout[65]","بورن أوت","Arabic, French","Nour-Eddine Lakhmari","Not nominated",NA,NA,"/w"
"Nepal","Panchayat[66]","पंचायत","Nepali","Shivam Adhikari","Not nominated",NA,NA,"/w"
"Netherlands","The Resistance Banker[67]","Bankier van het Verzet","Dutch","Joram Lürsen","Not nominated",NA,NA,"/w"
"New Zealand","Yellow Is Forbidden[68]","Yellow is Forbidden","Chinese","Pietra Brettkelly","Not nominated",NA,NA,"/w"
"Niger","The Wedding Ring[69]","Zin'naariya!","Zarma, Hausa, Fulani[70]","Rahmatou Keïta","Not nominated",NA,NA,"/w"
"Norway","What Will People Say[71]","Hva vil folk si","Norwegian, Urdu","Iram Haq","Not nominated",NA,NA,"/w"
"Pakistan","Cake[72]","کیک","Urdu","Asim Abbasi","Not nominated",NA,NA,"/w"
"Palestine","Ghost Hunting[73]","إصطياد اشباح (Istiyad ashbah)","Arabic, English","Raed Andoni","Not nominated",NA,NA,"/w"
"Panama","Ruben Blades Is Not My Name[74]","Yo No Me Llamo Rubén Blades","Spanish, English","Abner Benaim","Not nominated",NA,NA,"/w"
"Paraguay","The Heiresses[75]","Las herederas","Spanish","Marcelo Martinessi","Not nominated",NA,NA,"/w"
"Peru","Eternity[76]","Wiñaypacha","Aymara","Oscar Catacora","Not nominated",NA,NA,"/w"
"Philippines","Signal Rock[77]","Signal Rock","Filipino","Chito S. Roño","Not nominated",NA,NA,"/w"
"Poland","Cold War[78]","Zimna wojna","Polish","Paweł Pawlikowski","Nominated[7]",NA,NA,"/w"
"Portugal","Pilgrimage[79]","Peregrinação","Portuguese, Japanese, Chinese, Latin, Indonesian","João Botelho","Not nominated",NA,NA,"/w"
"Romania","I Do Not Care If We Go Down in History as Barbarians[80]","Îmi este indiferent dacă în istorie vom intra ca barbari","Romanian","Radu Jude","Not nominated",NA,NA,"/w"
"Russia","Sobibor[81]","Собибор","Russian, German, Polish, Yiddish","Konstantin Khabensky","Not nominated",NA,NA,"/w"
"Serbia","Offenders[82]","Izgrednici","Serbian","Dejan Zečević","Not nominated",NA,NA,"/w"
"Singapore","Buffalo Boys[83]","Buffalo Boys","Indonesian, English","Mike Wiluan","Not nominated",NA,NA,"/w"
"Slovakia","The Interpreter[84]","Tlmočník","German, Slovak, Russian","Martin Šulík","Not nominated",NA,NA,"/w"
"Slovenia","Ivan[85]","Ivan","Slovenian, Italian","Janez Burger","Not nominated",NA,NA,"/w"
"South Africa","Sew the Winter to My Skin[86]","Sew the Winter to My Skin","Afrikaans, Xhosa, English","Jahmil X.T. Qubeka","Not nominated",NA,NA,"/w"
"South Korea","Burning[87]","버닝 (Beoning)","Korean","Lee Chang-dong","Made shortlist[6]",NA,NA,"/w"
"Spain","Champions[88]","Campeones","Spanish","Javier Fesser","Not nominated",NA,NA,"/w"
"Sweden","Border[89]","Gräns","Swedish","Ali Abbasi","Not nominated",NA,NA,"/w"
"Switzerland","Eldorado[90]","Eldorado","German","Markus Imhoof","Not nominated",NA,NA,"/w"
"Taiwan","The Great Buddha+[91]","大佛普拉斯 (Dà fó pǔ lā sī)","Taiwanese Hokkien, Mandarin, English","Huang Hsin-yao","Not nominated",NA,NA,"/w"
"Thailand","Malila: The Farewell Flower[92]","มะลิลา (Malila)","Thai","Anucha Boonyawatana","Not nominated",NA,NA,"/w"
"Tunisia","Beauty and the Dogs[93]","على كف عفريت (ʿAlā kaff ʿifrīt)","Arabic","Kaouther Ben Hania","Not nominated",NA,NA,"/w"
"Turkey","The Wild Pear Tree[94]","Ahlat Ağacı","Turkish","Nuri Bilge Ceylan","Not nominated",NA,NA,"/w"
"Ukraine","Donbass[95]","Донбас","Russian, Ukrainian","Sergei Loznitsa","Not nominated",NA,NA,"/w"
"United Kingdom","I Am Not a Witch[96]","I Am Not a Witch","English, Bemba","Rungano Nyoni","Not nominated",NA,NA,"/w"
"Uruguay","Twelve-Year Night[97]","La noche de 12 años","Spanish","Álvaro Brechner","Not nominated",NA,NA,"/w"
"Venezuela","The Family[98]","La familia","Spanish","Gustavo Rondón Córdova","Not nominated",NA,NA,"/w"
"Vietnam","The Tailor[99]","Cô Ba Sài Gòn","Vietnamese","Trần Bửu Lộc and Nguyễn Lê Phương Khanh","Not nominated",NA,NA,"/w"
"Yemen","10 Days Before the Wedding[100]","10 أيام قبل الزفة","Arabic","Amr Gamal","Not nominated",NA,NA,"/w"
"Afghanistan","Hava, Maryam, Ayesha[18]","حوا، مریم، عایشه (Hava, Maryam, Ayesha)","Persian","Sahraa Karimi","Disqualified[19]",NA,NA,"/w"
"Albania","The Delegation[20]","Delegacioni","Albanian, French","Bujar Alimani","Not nominated",NA,NA,"/w"
"Algeria","Papicha[21]","Papicha","Arabic, French","Mounia Meddour","Not nominated",NA,NA,"/w"
"Argentina","Heroic Losers[22]","La odisea de los giles","Spanish","Sebastián Borensztein","Not nominated",NA,NA,"/w"
"Armenia","Lengthy Night[23]","Էրկեն Կիշեր","Armenian","Edgar Baghdasaryan","Not nominated",NA,NA,"/w"
"Australia","Buoyancy[24]","Buoyancy","Khmer, Thai","Rodd Rathjen","Not nominated",NA,NA,"/w"
"Austria","Joy[25]","Joy","English, German","Sudabeh Mortezai","Disqualified[26]",NA,NA,"/w"
"Bangladesh","Alpha[27]","আলফা","Bangla","Nasiruddin Yousuff","Not nominated",NA,NA,"/w"
"Belarus","Debut[28]","Дебют","Russian","Anastasiya Miroshnichenko","Not nominated",NA,NA,"/w"
"Belgium","Our Mothers[29]","Nuestras madres","Spanish","César Díaz","Not nominated",NA,NA,"/w"
"Bolivia","I Miss You[30]","Tu me manques","Spanish, English","Rodrigo Bellott","Not nominated",NA,NA,"/w"
"Bosnia and Herzegovina","The Son[31]","Sin","Bosnian","Ines Tanović","Not nominated",NA,NA,"/w"
"Brazil","Invisible Life[32][33]","A vida invisível","Portuguese","Karim Aïnouz","Not nominated",NA,NA,"/w"
"Bulgaria","Ága[34]","Ага","Yakut","Milko Lazarov","Not nominated",NA,NA,"/w"
"Cambodia","In the Life of Music[35]","តន្រ្តីជីវិត","Khmer, English","Caylee So, Sok Visal","Not nominated",NA,NA,"/w"
"Canada","Antigone[36]","Antigone","French","Sophie Deraspe","Not nominated",NA,NA,"/w"
"Chile","Spider[37]","Araña","Spanish","Andrés Wood","Not nominated",NA,NA,"/w"
"China","Ne Zha[38]","哪吒之魔童降世 (Nézhā zhī Mótóng Jiàngshì)","Mandarin","Jiaozi","Not nominated",NA,NA,"/w"
"Colombia","Monos[39]","Monos","Spanish","Alejandro Landes","Not nominated",NA,NA,"/w"
"Costa Rica","The Awakening of the Ants[40]","El despertar de las hormigas","Spanish","Antonella Sudasassi","Not nominated",NA,NA,"/w"
"Croatia","Mali[41]","Mali","Croatian","Antonio Nuić","Not nominated",NA,NA,"/w"
"Cuba","A Translator[42]","Un Traductor","Spanish, Russian","Rodrigo Barriuso, Sebastián Barriuso","Not nominated",NA,NA,"/w"
"Czech Republic","The Painted Bird[43]","Nabarvené ptáče","Interslavic","Václav Marhoul","Made shortlist[13]",NA,NA,"/w"
"Denmark","Queen of Hearts[44]","Dronningen","Danish, Swedish","May el-Toukhy","Not nominated",NA,NA,"/w"
"Dominican Republic","The Projectionist[45]","El proyeccionista","Spanish","José María Cabral","Not nominated",NA,NA,"/w"
"Ecuador","The Longest Night[46]","La mala noche","Spanish","Gabriela Calvache","Not nominated",NA,NA,"/w"
"Egypt","Poisonous Roses[47]","ورد مسموم","Arabic","Fawzi Saleh","Not nominated",NA,NA,"/w"
"Estonia","Truth and Justice[48]","Tõde ja õigus","Estonian","Tanel Toom","Made shortlist[13]",NA,NA,"/w"
"Ethiopia","Running Against the Wind[49]","የንፋሱ ፍልሚያ (Yenifasu Filmya)","Amharic","Jan Philipp Weyl","Not nominated",NA,NA,"/w"
"Finland","Stupid Young Heart[50]","Hölmö nuori sydän","Finnish, Somali","Selma Vilhunen","Not nominated",NA,NA,"/w"
"France","Les Misérables[51]","Les Misérables","French","Ladj Ly","Nominated[52]",NA,NA,"/w"
"Georgia","Shindisi[53]","შინდისი","Georgian","Dito Tsintsadze","Not nominated",NA,NA,"/w"
"Germany","System Crasher[54]","Systemsprenger","German","Nora Fingscheidt","Not nominated",NA,NA,"/w"
"Ghana","Azali[55]","Azali","Dagbani, Akan","Kwabena Gyansah","Not nominated",NA,NA,"/w"
"Greece","When Tomatoes Met Wagner[56]","Όταν ο Βάγκνερ Συνάντησε τις Ντομάτες (Otan o Wagner Sinantise tis Ntomates)","Greek","Marianna Economou","Not nominated",NA,NA,"/w"
"Honduras","Blood, Passion and Coffee[33]","Café con Sabor a mi Tierra","Spanish","Carlos Membreño","Not nominated",NA,NA,"/w"
"Hong Kong","The White Storm 2: Drug Lords[57]","掃毒2天地對決 (So duk 2: Tin dei duei kuet)","Cantonese","Herman Yau","Not nominated",NA,NA,"/w"
"Hungary","Those Who Remained[58]","Akik maradtak","Hungarian","Barnabás Tóth","Made shortlist[13]",NA,NA,"/w"
"Iceland","A White, White Day[59]","Hvítur, Hvítur Dagur","Icelandic","Hlynur Pálmason","Not nominated",NA,NA,"/w"
"India","Gully Boy[60]","गली बॉय","Hindi","Zoya Akhtar","Not nominated",NA,NA,"/w"
"Indonesia","Memories of My Body[61]","Kucumbu Tubuh Indahku","Indonesian","Garin Nugroho","Not nominated",NA,NA,"/w"
"Iran","Finding Farideh[62]","در جستجوی فریده","Persian, Dutch, English","Kourosh Ataee, Azadeh Moussavi","Not nominated",NA,NA,"/w"
"Ireland","Gaza[63]","Gaza","Arabic","Garry Keane, Andrew McConnell","Not nominated",NA,NA,"/w"
"Israel","Incitement[64]","ימים נוראים (Yamim Noraim)","Hebrew","Yaron Zilberman","Not nominated",NA,NA,"/w"
"Italy","The Traitor[65]","Il traditore","Italian","Marco Bellocchio","Not nominated",NA,NA,"/w"
"Japan","Weathering with You[66]","天気の子 (Tenki no Ko)","Japanese","Makoto Shinkai","Not nominated",NA,NA,"/w"
"Kazakhstan","Kazakh Khanate – Golden Throne[67]","қазақ хандығының алтын тесігі","Kazakh, Russian","Rustem Abdrashev","Not nominated",NA,NA,"/w"
"Kenya","Subira[68]","Subira","English, Swahili","Ravneet Sippy Chadha","Not nominated",NA,NA,"/w"
"Kosovo","Zana[69]","Zana","Albanian","Antoneta Kastrati","Not nominated",NA,NA,"/w"
"Kyrgyzstan","Aurora[70]","Аврора","Kyrgyz, Russian","Bekzat Pirmatov","Not nominated",NA,NA,"/w"
"Latvia","The Mover[71]","Tēvs Nakts","Latvian, Russian, German, Yiddish","Dāvis Sīmanis Jr.","Not nominated",NA,NA,"/w"
"Lebanon","1982[72]","1982","Arabic, English","Oualid Mouaness","Not nominated",NA,NA,"/w"
"Lithuania","Bridges of Time[73]","Laiko tiltai","Estonian, Latvian, Lithuanian","Kristine Briede, Audrius Stonys","Not nominated",NA,NA,"/w"
"Luxembourg","Tel Aviv on Fire[74]","תל אביב על האש (Tel Aviv Al Ha'Esh)","Hebrew, Arabic","Sameh Zoabi","Not nominated",NA,NA,"/w"
"Malaysia","M for Malaysia[75]","M for Malaysia","Malay, English","Dian Lee, Ineza Roussille","Not nominated",NA,NA,"/w"
"Mexico","The Chambermaid[76]","La camarista","Spanish","Lila Avilés","Not nominated",NA,NA,"/w"
"Mongolia","The Steed[33]","Хийморь","Mongolian, Kazakh, Chinese, Russian","Erdenebileg Ganbold","Not nominated",NA,NA,"/w"
"Montenegro","Neverending Past[77]","Između dana i noći","Montenegrin","Andro Martinovic","Not nominated",NA,NA,"/w"
"Morocco","Adam[78]","آدم","Arabic","Maryam Touzani","Not nominated",NA,NA,"/w"
"Nepal","Bulbul[79]","बुलबुल","Nepali","Binod Paudel","Not nominated",NA,NA,"/w"
"Netherlands","Instinct[80]","Instinct","Dutch","Halina Reijn","Not nominated",NA,NA,"/w"
"Nigeria","Lionheart[81]","Lionheart","English, Igbo","Genevieve Nnaji","Disqualified[19]",NA,NA,"/w"
"North Macedonia","Honeyland[82]","Медена земја","Turkish, Macedonian, Bosnian","Tamara Kotevska, Ljubomir Stefanov","Nominated[52]",NA,NA,"/w"
"Norway","Out Stealing Horses[83]","Ut og stjæle hester","Norwegian, Swedish","Hans Petter Moland","Not nominated",NA,NA,"/w"
"Pakistan","Laal Kabootar[84]","لال کبوتر","Urdu","Kamal Khan","Not nominated",NA,NA,"/w"
"Palestine","It Must Be Heaven[85]","It Must Be Heaven","Arabic, English, French","Elia Suleiman","Not nominated",NA,NA,"/w"
"Panama","Everybody Changes[86]","Todos Cambiamos","Spanish","Arturo Montenegro","Not nominated",NA,NA,"/w"
"Peru","Retablo[87]","Retablo","Quechua","Alvaro Delgado-Aparicio","Not nominated",NA,NA,"/w"
"Philippines","Verdict[88]","Verdict","Tagalog, Filipino, English","Raymund Ribay Gutierrez","Not nominated",NA,NA,"/w"
"Poland","Corpus Christi[89]","Boże Ciało","Polish","Jan Komasa","Nominated[52]",NA,NA,"/w"
"Portugal","The Domain[90]","A Herdade","Portuguese","Tiago Guedes","Not nominated",NA,NA,"/w"
"Romania","The Whistlers[91]","La Gomera","Romanian, English, El Silbo","Corneliu Porumboiu","Not nominated",NA,NA,"/w"
"Russia","Beanpole[92]","Дылда","Russian","Kantemir Balagov","Made shortlist[13]",NA,NA,"/w"
"Saudi Arabia","The Perfect Candidate[93]","المرشح المثالي","Arabic","Haifaa al-Mansour","Not nominated",NA,NA,"/w"
"Senegal","Atlantics[94]","Atlantique","Wolof, French, English","Mati Diop","Made shortlist[13]",NA,NA,"/w"
"Serbia","King Petar of Serbia[95]","Краљ Петар Први (Kralj Petar Prvi)","Serbian","Petar Ristovski","Not nominated",NA,NA,"/w"
"Singapore","A Land Imagined[96]","幻土 (Huan tu)","Mandarin, English, Bengali","Yeo Siew Hua","Not nominated",NA,NA,"/w"
"Slovakia","Let There Be Light[97]","Nech je svetlo","Slovak","Marko Škop","Not nominated",NA,NA,"/w"
"Slovenia","History of Love[98]","Zgodovina ljubezni","Slovenian, English","Sonja Prosenc","Not nominated",NA,NA,"/w"
"South Africa","Knuckle City[99]","Knuckle City","Xhosa","Jahmil X.T. Qubeka","Not nominated",NA,NA,"/w"
"South Korea","Parasite[100]","기생충 (Gisaengchung)","Korean","Bong Joon-ho","Won Academy Award[16]",NA,NA,"/w"
"Spain","Pain and Glory[101]","Dolor y gloria","Spanish","Pedro Almodóvar","Nominated[52]",NA,NA,"/w"
"Sweden","And Then We Danced[102]","And Then We Danced","Georgian","Levan Akin","Not nominated",NA,NA,"/w"
"Switzerland","The Awakening of Motti Wolkenbruch[103]","Wolkenbruchs wunderliche Reise in die Arme einer Schickse","German, Yiddish, Hebrew","Michael Steiner","Not nominated",NA,NA,"/w"
"Taiwan","Dear Ex[104]","誰先愛上他的","Mandarin","Mag Hsu, Hsu Chih-yen","Not nominated",NA,NA,"/w"
"Thailand","Krasue: Inhuman Kiss[105]","แสงกระสือ (Saeng Krasue)","Thai","Sitisiri Mongkolsiri","Not nominated",NA,NA,"/w"
"Tunisia","Dear Son[106]","ولدي (Weldi)","Arabic","Mohamed Ben Attia","Not nominated",NA,NA,"/w"
"Turkey","Commitment[107]","Bağlılık Aslı","Turkish","Semih Kaplanoğlu","Not nominated",NA,NA,"/w"
"Ukraine","Homeward[108]","Додому","Crimean Tatar, Ukrainian","Nariman Aliev","Not nominated",NA,NA,"/w"
"United Kingdom","The Boy Who Harnessed the Wind[33]","The Boy Who Harnessed the Wind","English, Chichewa","Chiwetel Ejiofor","Not nominated",NA,NA,"/w"
"Uruguay","The Moneychanger[109]","Así habló el cambista","Spanish","Federico Veiroj","Not nominated",NA,NA,"/w"
"Uzbekistan","Hot Bread[110]","Issiq non","Uzbek","Umid Khamdamov","Not nominated",NA,NA,"/w"
"Venezuela","Being Impossible[111]","Yo, imposible","Spanish","Patricia Ortega","Not nominated",NA,NA,"/w"
"Vietnam","Furie[112]","Hai Phượng","Vietnamese","Lê Văn Kiệt","Not nominated",NA,NA,"/w"
"Albania","Open Door[16]","Derë e hapur","Albanian, Italian","Florenc Papas","Not nominated",NA,NA,"/w"
"Algeria","Héliopolis[17]","هيليوبوليس","Arabic, French","Djafar Gacem","Withdrawn [18]",NA,NA,"/w"
"Argentina","The Sleepwalkers[19]","Los sonámbulos","Spanish","Paula Hernández","Not nominated",NA,NA,"/w"
"Armenia","Songs of Solomon[20]","Սողոմոնի երգերը","Armenian","Arman Nshanyan","Not nominated",NA,NA,"/w"
"Austria","What We Wanted[21]","Was wir wollten","German","Ulrike Kofler","Not nominated",NA,NA,"/w"
"Bangladesh","Sincerely Yours, Dhaka[22]","ইতি, তোমারই ঢাকা (Iti, Tomari Dhaka)","Bengali","Eleven different directors[n 1]","Not nominated",NA,NA,"/w"
"Belarus","Persian Lessons[23]","Persischstunden","English, French, German, Italian, Persian","Vadim Perelman","Disqualified[24]",NA,NA,"/w"
"Belgium","Working Girls[25]","Filles de joie","French","Frédéric Fonteyne and Anne Paulicevich","Not nominated",NA,NA,"/w"
"Bhutan","Lunana: A Yak in the Classroom[26]","লুনানা","Dzongkha","Pawo Choyning Dorji","Disqualified [27]",NA,NA,"/w"
"Bolivia","Chaco[28]","Chaco","Aymara, Quechua, Spanish","Diego Mondaca","Not nominated",NA,NA,"/w"
"Bosnia and Herzegovina","Quo Vadis, Aida?[29]","Quo Vadis, Aida?","Bosnian, Dutch, English, Serbian","Jasmila Žbanić","Nominated[14]",NA,NA,"/w"
