"Submitting country","Film title used in nomination","Original title","Language(s)","Director(s)","Result","Result [6]","Title used in nomination","Ceremony"
"Hungary","Adoption","Örökbefogadás","Hungarian","Márta Mészáros","Not nominated",NA,NA,"/w"
"Israel","My Michael","מיכאל שלי","Hebrew","Dan Wolman","Not nominated",NA,NA,"/w"
"Italy","Scent of a Woman","Profumo di donna","Italian","Dino Risi","Nominated",NA,NA,"/w"
"Japan","Sandakan No. 8","サンダカン八番娼館 望郷","Japanese","Kei Kumai","Nominated",NA,NA,"/w"
"Mexico","Letters from Marusia","Actas de Marusia","Spanish","Miguel Littín","Nominated",NA,NA,"/w"
"Netherlands","Dr. Pulder Sows Poppies","Dokter Pulder zaait papavers","Dutch","Bert Haanstra","Not nominated",NA,NA,"/w"
"Poland","Land of Promise","Ziemia obiecana","Polish","Andrzej Wajda","Nominated",NA,NA,"/w"
"Soviet Union","Dersu Uzala","Дерсу Узала","Russian","Akira Kurosawa","Won Academy Award",NA,NA,"/w"
"Spain","Poachers","Furtivos","Spanish","José Luis Borau","Not nominated",NA,NA,"/w"
"Switzerland","Confrontation","Konfrontation","German","Rolf Lyssy","Not nominated",NA,NA,"/w"
"Yugoslavia","The Day That Shook the World","Sarajevski atentat","Serbo-Croatian","Veljko Bulajić","Not nominated",NA,NA,"/w"
"Argentina","Yesterday's Guys Used No Arsenic","Los muchachos de antes no usaban arsénico","Spanish","José A. Martínez Suárez","Not nominated",NA,NA,"/w"
"Belgium","High Street","Rue Haute","French","André Ernotte","Not nominated",NA,NA,"/w"
"Brazil","Xica da Silva","Xica","Portuguese","Carlos Diegues","Not nominated",NA,NA,"/w"
"Czechoslovakia","One Silver Piece","Jeden Stříbrný","Czech","Jaroslav Balík","Not nominated",NA,NA,"/w"
"Denmark","The Olsen Gang Sees Red","Olsen-banden ser rødt","Danish","Erik Balling","Not nominated",NA,NA,"/w"
"Egypt","Whom Should We Shoot?","على من نطلق الرصاص","Arabic","Kamal El Sheikh","Not nominated",NA,NA,"/w"
"France","Cousin, cousine","Cousin, Cousine","French","Jean-Charles Tacchella","Nominated",NA,NA,"/w"
"East Germany","Jacob the Liar","Jakob der Lügner","German","Frank Beyer","Nominated",NA,NA,"/w"
"West Germany","The Clown","Ansichten eines Clowns","German","Vojtěch Jasný","Not nominated",NA,NA,"/w"
"Hong Kong","The Last Tempest","瀛台泣血","Mandarin","Han Hsiang Li","Not nominated",NA,NA,"/w"
"Hungary","The Fifth Seal","Az Ötödik pecsét","Hungarian","Zoltán Fábri","Not nominated",NA,NA,"/w"
"Italy","Seven Beauties","Pasqualino Settebellezze","Italian","Lina Wertmüller","Nominated",NA,NA,"/w"
"Ivory Coast","Black and White in Color","Noirs et blancs en couleur","French","Jean-Jacques Annaud","Won Academy Award",NA,NA,"/w"
"Mexico","Length of War","Longitud de guerra","Spanish","Gonzalo Martínez Ortega","Not nominated",NA,NA,"/w"
"Netherlands","Max Havelaar","Max Havelaar of de koffieveilingen der Nederlandsche handelsmaatschappij","Dutch","Fons Rademakers","Not nominated",NA,NA,"/w"
"Philippines","Ganito Kami Noon, Paano Kayo Ngayon","Ganito Kami Noon, Paano Kayo Ngayon","Tagalog","Eddie Romero","Not nominated",NA,NA,"/w"
